№,Эмодзи,Unicode_Код,Десятичный_Код
1,😀,U+1F600,128512
2,😁,U+1F601,128513
3,😂,U+1F602,128514
4,😃,U+1F603,128515
5,😄,U+1F604,128516
6,😅,U+1F605,128517
7,😆,U+1F606,128518
8,😇,U+1F607,128519
9,😈,U+1F608,128520
10,😉,U+1F609,128521
11,😊,U+1F60A,128522
12,😋,U+1F60B,128523
13,😌,U+1F60C,128524
14,😍,U+1F60D,128525
15,😎,U+1F60E,128526
16,😏,U+1F60F,128527
17,😐,U+1F610,128528
18,😑,U+1F611,128529
19,😒,U+1F612,128530
20,😓,U+1F613,128531
21,😔,U+1F614,128532
22,😕,U+1F615,128533
23,😖,U+1F616,128534
24,😗,U+1F617,128535
25,😘,U+1F618,128536
26,😙,U+1F619,128537
27,😚,U+1F61A,128538
28,😛,U+1F61B,128539
29,😜,U+1F61C,128540
30,😝,U+1F61D,128541
31,😞,U+1F61E,128542
32,😟,U+1F61F,128543
33,😠,U+1F620,128544
34,😡,U+1F621,128545
35,😢,U+1F622,128546
36,😣,U+1F623,128547
37,😤,U+1F624,128548
38,😥,U+1F625,128549
39,😦,U+1F626,128550
40,😧,U+1F627,128551
41,😨,U+1F628,128552
42,😩,U+1F629,128553
43,😪,U+1F62A,128554
44,😫,U+1F62B,128555
45,😬,U+1F62C,128556
46,😭,U+1F62D,128557
47,😮,U+1F62E,128558
48,😯,U+1F62F,128559
49,😰,U+1F630,128560
50,😱,U+1F631,128561
51,😲,U+1F632,128562
52,😳,U+1F633,128563
53,😴,U+1F634,128564
54,😵,U+1F635,128565
55,😶,U+1F636,128566
56,😷,U+1F637,128567
57,😸,U+1F638,128568
58,😹,U+1F639,128569
59,😺,U+1F63A,128570
60,😻,U+1F63B,128571
61,😼,U+1F63C,128572
62,😽,U+1F63D,128573
63,😾,U+1F63E,128574
64,😿,U+1F63F,128575
65,🙀,U+1F640,128576
66,🙁,U+1F641,128577
67,🙂,U+1F642,128578
68,🙃,U+1F643,128579
69,🙄,U+1F644,128580
70,🙅,U+1F645,128581
71,🙆,U+1F646,128582
72,🙇,U+1F647,128583
73,🙈,U+1F648,128584
74,🙉,U+1F649,128585
75,🙊,U+1F64A,128586
76,🙋,U+1F64B,128587
77,🙌,U+1F64C,128588
78,🙍,U+1F64D,128589
79,🙎,U+1F64E,128590
80,🤀,U+1F900,129280
81,🤁,U+1F901,129281
82,🤂,U+1F902,129282
83,🤃,U+1F903,129283
84,🤄,U+1F904,129284
85,🤅,U+1F905,129285
86,🤆,U+1F906,129286
87,🤇,U+1F907,129287
88,🤈,U+1F908,129288
89,🤉,U+1F909,129289
90,🤊,U+1F90A,129290
91,🤋,U+1F90B,129291
92,🤌,U+1F90C,129292
